        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.62000000e+01,        +2.860598677442e-11,        +2.884692687545e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.63000000e+01,        +2.859671630629e-11,        +2.884858195597e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.64000000e+01,        +2.858794021849e-11,        +2.884989151010e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+01,        +2.857969448707e-11,        +2.885084197412e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+01,        +2.857201255936e-11,        +2.885142231743e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.67000000e+01,        +2.856492516670e-11,        +2.885162408758e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+01,        +2.855846015080e-11,        +2.885144143964e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.69000000e+01,        +2.855264230467e-11,        +2.885087115032e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +2.854749322900e-11,        +2.884991261637e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.71000000e+01,        +2.854303120467e-11,        +2.884856783779e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.72000000e+01,        +2.853927108207e-11,        +2.884684138580e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.73000000e+01,        +2.853622418782e-11,        +2.884474035594e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.74000000e+01,        +2.853389824944e-11,        +2.884227430664e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+01,        +2.853229733826e-11,        +2.883945518378e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+01,        +2.853142183102e-11,        +2.883629723157e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.77000000e+01,        +2.853126839032e-11,        +2.883281689061e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+01,        +2.853182996410e-11,        +2.882903268354e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.79000000e+01,        +2.853309580418e-11,        +2.882496508908e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +2.853505150389e-11,        +2.882063640535e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.81000000e+01,        +2.853767905459e-11,        +2.881607060307e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.82000000e+01,        +2.854095692094e-11,        +2.881129316976e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.83000000e+01,        +2.854486013462e-11,        +2.880633094563e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+01,        +2.854936040609e-11,        +2.880121195234e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e+01,        +2.855442625403e-11,        +2.879596521545e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.86000000e+01,        +2.856002315174e-11,        +2.879062058170e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.87000000e+01,        +2.856611369009e-11,        +2.878520853208e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.88000000e+01,        +2.857265775617e-11,        +2.877975999182e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.89000000e+01,        +2.857961272694e-11,        +2.877430613839e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +2.858693367696e-11,        +2.876887820856e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.91000000e+01,        +2.859457359936e-11,        +2.876350730557e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.92000000e+01,        +2.860248363902e-11,        +2.875822420770e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.93000000e+01,        +2.861061333680e-11,        +2.875305917906e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.94000000e+01,        +2.861891088393e-11,        +2.874804178393e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e+01,        +2.862732338506e-11,        +2.874320070549e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.96000000e+01,        +2.863579712900e-11,        +2.873856357020e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.97000000e+01,        +2.864427786569e-11,        +2.873415677862e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.98000000e+01,        +2.865271108806e-11,        +2.873000534388e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.99000000e+01,        +2.866104231749e-11,        +2.872613273848e-11,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +2.866921739128e-11,        +2.872256075062e-11,        +0.000000000000e+00,        +0.000000000000e+00
