        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.16000000e+01,        +1.414213562373e-01,        +1.438561289676e-01,        +8.910931108328e-04,        -5.371886239776e-02,        +1.271179047245e-01
 1.17000000e+01,        +1.414213562373e-01,        +1.437833910944e-01,        +7.534004746760e-04,        -4.895105442383e-02,        +1.290011915111e-01
 1.18000000e+01,        +1.414213562373e-01,        +1.436987986722e-01,        +6.205231186142e-04,        -4.411720376285e-02,        +1.307060195399e-01
 1.19000000e+01,        +1.414213562373e-01,        +1.436026702047e-01,        +4.933727513893e-04,        -3.922396294114e-02,        +1.322300604173e-01
 1.20000000e+01,        +1.414213562373e-01,        +1.434953946678e-01,        +3.728397694508e-04,        -3.427806857726e-02,        +1.335712314560e-01
 1.21000000e+01,        +1.414213562373e-01,        +1.433774300864e-01,        +2.597877861174e-04,        -2.928633252740e-02,        +1.347276989600e-01
 1.22000000e+01,        +1.414213562373e-01,        +1.432493016864e-01,        +1.550482541881e-04,        -2.425563287832e-02,        +1.356978812156e-01
 1.23000000e+01,        +1.414213562373e-01,        +1.431115996260e-01,        +5.941521509223e-05,        -1.919290479297e-02,        +1.364804511800e-01
 1.24000000e+01,        +1.414213562373e-01,        +1.429649763168e-01,        -2.635979263639e-05,        -1.410513121488e-02,        +1.370743388590e-01
 1.25000000e+01,        +1.414213562373e-01,        +1.428101433442e-01,        -1.015726332903e-04,        -8.999333437835e-03,        +1.374787333615e-01
 1.26000000e+01,        +1.414213562373e-01,        +1.426478680014e-01,        -1.655712507684e-04,        -3.882561549030e-03,        +1.376930846208e-01
 1.27000000e+01,        +1.414213562373e-01,        +1.424789694526e-01,        -2.177600915598e-04,        +1.238115244594e-03,        +1.377171047699e-01
 1.28000000e+01,        +1.414213562373e-01,        +1.423043145441e-01,        -2.576042444145e-04,        +6.355618395354e-03,        +1.375507691596e-01
 1.29000000e+01,        +1.414213562373e-01,        +1.421248132843e-01,        -2.846332685009e-04,        +1.146286988602e-02,        +1.371943170064e-01
 1.30000000e+01,        +1.414213562373e-01,        +1.419414140152e-01,        -2.984446833678e-04,        +1.655280217853e-02,        +1.366482516610e-01
 1.31000000e+01,        +1.414213562373e-01,        +1.417550983013e-01,        -2.987070957441e-04,        +2.161836822403e-02,        +1.359133404856e-01
 1.32000000e+01,        +1.414213562373e-01,        +1.415668755636e-01,        -2.851629400988e-04,        +2.665255151696e-02,        +1.349906143327e-01
 1.33000000e+01,        +1.414213562373e-01,        +1.413777774867e-01,        -2.576308119608e-04,        +3.164837617448e-02,        +1.338813666148e-01
 1.34000000e+01,        +1.414213562373e-01,        +1.411888522318e-01,        -2.160073752355e-04,        +3.659891702174e-02,        +1.325871519609e-01
 1.35000000e+01,        +1.414213562373e-01,        +1.410011584865e-01,        -1.602688271495e-04,        +4.149730966239e-02,        +1.311097844524e-01
 1.36000000e+01,        +1.414213562373e-01,        +1.408157593873e-01,        -9.047190698723e-05,        +4.633676051297e-02,        +1.294513354347e-01
 1.37000000e+01,        +1.414213562373e-01,        +1.406337163487e-01,        -6.754437449653e-06,        +5.111055677924e-02,        +1.276141309024e-01
 1.38000000e+01,        +1.414213562373e-01,        +1.404560828356e-01,        +9.066460977067e-05,        +5.581207635169e-02,        +1.256007484564e-01
 1.39000000e+01,        +1.414213562373e-01,        +1.402838981165e-01,        +2.014855297318e-04,        +6.043479759729e-02,        +1.234140138336e-01
 1.40000000e+01,        +1.414213562373e-01,        +1.401181810341e-01,        +3.253287839097e-04,        +6.497230902416e-02,        +1.210569970120e-01
 1.41000000e+01,        +1.414213562373e-01,        +1.399599238323e-01,        +4.617363833989e-04,        +6.941831879570e-02,        +1.185330078942e-01
