        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 1.35000000e+01,        +1.414213562373e-01,        +1.454821831418e-01,        -1.696534578130e-03,        +4.844972967400e-02,        +1.284503914040e-01
 1.36000000e+01,        +1.414213562373e-01,        +1.451983898867e-01,        -1.754150545457e-03,        +5.323720364351e-02,        +1.265221751905e-01
 1.37000000e+01,        +1.414213562373e-01,        +1.449094260487e-01,        -1.789881693865e-03,        +5.794900482360e-02,        +1.244151893538e-01
 1.38000000e+01,        +1.414213562373e-01,        +1.446169870408e-01,        -1.803355490428e-03,        +6.257841228026e-02,        +1.221323269551e-01
 1.39000000e+01,        +1.414213562373e-01,        +1.443227957769e-01,        -1.794331374835e-03,        +6.711880854564e-02,        +1.196767397272e-01
 1.40000000e+01,        +1.414213562373e-01,        +1.440285923824e-01,        -1.762702874986e-03,        +7.156369032277e-02,        +1.170518351475e-01
 1.41000000e+01,        +1.414213562373e-01,        +1.437361237313e-01,        -1.708498918244e-03,        +7.590667920196e-02,        +1.142612729792e-01
 1.42000000e+01,        +1.414213562373e-01,        +1.434471328728e-01,        -1.631884322552e-03,        +8.014153235273e-02,        +1.113089612667e-01
 1.43000000e+01,        +1.414213562373e-01,        +1.431633484133e-01,        -1.533159456720e-03,        +8.426215315300e-02,        +1.081990517719e-01
 1.44000000e+01,        +1.414213562373e-01,        +1.428864739186e-01,        -1.412759064496e-03,        +8.826260171553e-02,        +1.049359348451e-01
 1.45000000e+01,        +1.414213562373e-01,        +1.426181774052e-01,        -1.271250252480e-03,        +9.213710526977e-02,        +1.015242337253e-01
 1.46000000e+01,        +1.414213562373e-01,        +1.423600809863e-01,        -1.109329647530e-03,        +9.588006835653e-02,        +9.796879827142e-02
 1.47000000e+01,        +1.414213562373e-01,        +1.421137507406e-01,        -9.278197349553e-04,        +9.948608279205e-02,        +9.427469812573e-02
 1.48000000e+01,        +1.414213562373e-01,        +1.418806868701e-01,        -7.276643944630e-04,        +1.029499373580e-01,        +9.044721532102e-02
 1.49000000e+01,        +1.414213562373e-01,        +1.416623142120e-01,        -5.099236564576e-04,        +1.062666271742e-01,        +8.649183634198e-02
 1.50000000e+01,        +1.414213562373e-01,        +1.414599731681e-01,        -2.757677068669e-04,        +1.094313627117e-01,        +8.241424365872e-02
 1.51000000e+01,        +1.414213562373e-01,        +1.412749111124e-01,        -2.647017407265e-05,        +1.124395784048e-01,        +7.822030675343e-02
 1.52000000e+01,        +1.414213562373e-01,        +1.411082743365e-01,        +2.365992632427e-04,        +1.152869408235e-01,        +7.391607266545e-02
 1.53000000e+01,        +1.414213562373e-01,        +1.409611005863e-01,        +5.119829035346e-04,        +1.179693563687e-01,        +6.950775608402e-02
 1.54000000e+01,        +1.414213562373e-01,        +1.408343122420e-01,        +7.981436366372e-04,        +1.204829784555e-01,        +6.500172902153e-02
 1.55000000e+01,        +1.414213562373e-01,        +1.407287101896e-01,        +1.093474091975e-03,        +1.228242141538e-01,        +6.040451010338e-02
 1.56000000e+01,        +1.414213562373e-01,        +1.406449684243e-01,        +1.396306263963e-03,        +1.249897302584e-01,        +5.572275351387e-02
 1.57000000e+01,        +1.414213562373e-01,        +1.405836294257e-01,        +1.704921554277e-03,        +1.269764587640e-01,        +5.096323763975e-02
 1.58000000e+01,        +1.414213562373e-01,        +1.405451003363e-01,        +2.017561167618e-03,        +1.287816017254e-01,        +4.613285345556e-02
 1.59000000e+01,        +1.414213562373e-01,        +1.405296499699e-01,        +2.332436795031e-03,        +1.304026354874e-01,        +4.123859269650e-02
 1.60000000e+01,        +1.414213562373e-01,        +1.405374066720e-01,        +2.647741516759e-03,        +1.318373142721e-01,        +3.628753586577e-02
 1.61000000e+01,        +1.414213562373e-01,        +1.405683570473e-01,        +2.961660855142e-03,        +1.330836731189e-01,        +3.128684012413e-02
 1.62000000e+01,        +1.414213562373e-01,        +1.406223455644e-01,        +3.272383907050e-03,        +1.341400301728e-01,        +2.624372710970e-02
 1.63000000e+01,        +1.414213562373e-01,        +1.406990750397e-01,        +3.578114484936e-03,        +1.350049883253e-01,        +2.116547073542e-02
 1.64000000e+01,        +1.414213562373e-01,        +1.407981079996e-01,        +3.877082195740e-03,        +1.356774362140e-01,        +1.605938501135e-02
 1.65000000e+01,        +1.414213562373e-01,        +1.409188689131e-01,        +4.167553387465e-03,        +1.361565485938e-01,        +1.093281193694e-02
 1.66000000e+01,        +1.414213562373e-01,        +1.410606472780e-01,        +4.447841894516e-03,        +1.364417860933e-01,        +5.793109507369e-03
 1.67000000e+01,        +1.414213562373e-01,        +1.412226015446e-01,        +4.716319514466e-03,        +1.365328943784e-01,        +6.476398751501e-04
 1.68000000e+01,        +1.414213562373e-01,        +1.414037638490e-01,        +4.971426151152e-03,        +1.364299027451e-01,        -4.496242294027e-03
 1.69000000e+01,        +1.414213562373e-01,        +1.416030455276e-01,        +5.211679561507e-03,        +1.361331221684e-01,        -9.631201235486e-03
 1.70000000e+01,        +1.414213562373e-01,        +1.418192433772e-01,        +5.435684646582e-03,        +1.356431428381e-01,        -1.474993123741e-02
 1.71000000e+01,        +1.414213562373e-01,        +1.420510466208e-01,        +5.642142230525e-03,        +1.349608312127e-01,        -1.984516750158e-02
 1.72000000e+01,        +1.414213562373e-01,        +1.422970445373e-01,        +5.829857274960e-03,        +1.340873266254e-01,        -2.490969668831e-02
 1.73000000e+01,        +1.414213562373e-01,        +1.425557347054e-01,        +5.997746480181e-03,        +1.330240374797e-01,        -2.993636712460e-02
 1.74000000e+01,        +1.414213562373e-01,        +1.428255318130e-01,        +6.144845228727e-03,        +1.317726370706e-01,        -3.491809865931e-02
 1.75000000e+01,        +1.414213562373e-01,        +1.431047769786e-01,        +6.270313831315e-03,        +1.303350590688e-01,        -3.984789215268e-02
 1.76000000e+01,        +1.414213562373e-01,        +1.433917475264e-01,        +6.373443039604e-03,        +1.287134927064e-01,        -4.471883859261e-02
 1.77000000e+01,        +1.414213562373e-01,        +1.436846671604e-01,        +6.453658794908e-03,        +1.269103777023e-01,        -4.952412783352e-02
 1.78000000e+01,        +1.414213562373e-01,        +1.439817164741e-01,        +6.510526186681e-03,        +1.249283989616e-01,        -5.425705695837e-02
 1.79000000e+01,        +1.414213562373e-01,        +1.442810437376e-01,        +6.543752599293e-03,        +1.227704810869e-01,        -5.891103826794e-02
 1.80000000e+01,        +1.414213562373e-01,        +1.445807758972e-01,        +6.553190030386e-03,        +1.204397827340e-01,        -6.347960690545e-02
 1.81000000e+01,        +1.414213562373e-01,        +1.448790297272e-01,        +6.538836568754e-03,        +1.179396908431e-01,        -6.795642812784e-02
 1.82000000e+01,        +1.414213562373e-01,        +1.451739230689e-01,        +6.500837024342e-03,        +1.152738147755e-01,        -7.233530423849e-02
 1.83000000e+01,        +1.414213562373e-01,        +1.454635860946e-01,        +6.439482707499e-03,        +1.124459803812e-01,        -7.661018119858e-02
 1.84000000e+01,        +1.414213562373e-01,        +1.457461725347e-01,        +6.355210359084e-03,        +1.094602240209e-01,        -8.077515493721e-02
 1.85000000e+01,        +1.414213562373e-01,        +1.460198708044e-01,        +6.248600237346e-03,        +1.063207865616e-01,        -8.482447738203e-02
 1.86000000e+01,        +1.414213562373e-01,        +1.462829149700e-01,        +6.120373371725e-03,        +1.030321073629e-01,        -8.875256223396e-02
 1.87000000e+01,        +1.414213562373e-01,        +1.465335954948e-01,        +5.971387997784e-03,        +9.959881826491e-02,        -9.255399051071e-02
 1.88000000e+01,        +1.414213562373e-01,        +1.467702697054e-01,        +5.802635191442e-03,        +9.602573758812e-02,        -9.622351588452e-02
 1.89000000e+01,        +1.414213562373e-01,        +1.469913719216e-01,        +5.615233724477e-03,        +9.231786414855e-02,        -9.975606983975e-02
 1.90000000e+01,        +1.414213562373e-01,        +1.471954231955e-01,        +5.410424166929e-03,        +8.848037129001e-02,        -1.031467666758e-01
 1.91000000e+01,        +1.414213562373e-01,        +1.473810406044e-01,        +5.189562265589e-03,        +8.451860093033e-02,        -1.063909083801e-01
 1.92000000e+01,        +1.414213562373e-01,        +1.475469460480e-01,        +4.954111631146e-03,        +8.043805761517e-02,        -1.094839893946e-01
 1.93000000e+01,        +1.414213562373e-01,        +1.476919744998e-01,        +4.705635769861e-03,        +7.624440256931e-02,        -1.124217012986e-01
 1.94000000e+01,        +1.414213562373e-01,        +1.478150816658e-01,        +4.445789498779e-03,        +7.194344773234e-02,        -1.151999374267e-01
