        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.90000000e+01,        -2.504368681124e+01,        +4.313779098624e+01,        -3.460938716520e-01,        -4.937666345687e+01
 1.91000000e+01,        -2.505501765433e+01,        +4.104863254800e+01,        -3.474138591402e-01,        -5.153582182938e+01
 1.92000000e+01,        -2.508175730698e+01,        +3.896443121203e+01,        -3.486829409523e-01,        -5.369521707474e+01
 1.93000000e+01,        -2.512411568038e+01,        +3.688552018897e+01,        -3.499013090598e-01,        -5.585487795430e+01
 1.94000000e+01,        -2.518236648656e+01,        +3.481229191230e+01,        -3.510694933591e-01,        -5.801483327882e+01
 1.95000000e+01,        -2.525685145500e+01,        +3.274520671177e+01,        -3.521883635662e-01,        -6.017511173200e+01
 1.96000000e+01,        -2.534798572488e+01,        +3.068480345325e+01,        -3.532591290375e-01,        -6.233574169258e+01
 1.97000000e+01,        -2.545626459619e+01,        +2.863171260624e+01,        -3.542833364951e-01,        -6.449675105597e+01
 1.98000000e+01,        -2.558227187858e+01,        +2.658667234299e+01,        -3.552628656436e-01,        -6.665816705643e+01
 1.99000000e+01,        -2.572669014815e+01,        +2.455054846490e+01,        -3.561999226796e-01,        -6.882001609102e+01
 2.00000000e+01,        -2.589031331334e+01,        +2.252435921107e+01,        -3.570970317081e-01,        -7.098232354611e+01
