        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.87000000e+01,        -2.770538944187e+01,        +6.042002831820e+01,        -1.327035280981e-01,        -3.792183829799e+01
 1.88000000e+01,        -2.785145063768e+01,        +5.843908708228e+01,        -1.329473886026e-01,        -4.005825828419e+01
 1.89000000e+01,        -2.801503391609e+01,        +5.647444089948e+01,        -1.331671034638e-01,        -4.219504135245e+01
 1.90000000e+01,        -2.819702770507e+01,        +5.452790287980e+01,        -1.333640917381e-01,        -4.433220160490e+01
 1.91000000e+01,        -2.839844544956e+01,        +5.260161349814e+01,        -1.335399311751e-01,        -4.646975260033e+01
 1.92000000e+01,        -2.862044527863e+01,        +5.069811162461e+01,        -1.336963534906e-01,        -4.860770727069e+01
 1.93000000e+01,        -2.886435398970e+01,        +4.882042529862e+01,        -1.338352386432e-01,        -5.074607783932e+01
 1.94000000e+01,        -2.913169647850e+01,        +4.697218886991e+01,        -1.339586081278e-01,        -5.288487574142e+01
 1.95000000e+01,        -2.942423209756e+01,        +4.515779578903e+01,        -1.340686173032e-01,        -5.502411154717e+01
 1.96000000e+01,        -2.974399990778e+01,        +4.338260024514e+01,        -1.341675467791e-01,        -5.716379488823e+01
 1.97000000e+01,        -3.009337544713e+01,        +4.165318670807e+01,        -1.342577928934e-01,        -5.930393438785e+01
 1.98000000e+01,        -3.047514254983e+01,        +3.997773536025e+01,        -1.343418573157e-01,        -6.144453759524e+01
 1.99000000e+01,        -3.089258500752e+01,        +3.836652527853e+01,        -1.344223358202e-01,        -6.358561092470e+01
 2.00000000e+01,        -3.134960460587e+01,        +3.683263924915e+01,        -1.345019062768e-01,        -6.572715959976e+01
